CD_MUN,NM_MUN,pop_total,pop_urbana,pop_rural,health_e2sfca,education_e2sfca,extension_e2sfca,health_pct,education_pct,extension_pct,composite_pct,quintile,underserved
4104451,Cantagalo,10933.0,8231.0,2702.0,0.0013685384719634808,0.06362108399966687,0.0,10.025062656641603,61.904761904761905,17.669172932330827,8.646616541353383,1.0,True
4104501,Capanema,20481.0,14625.0,5856.0,0.001257956688907789,0.04098322625753233,3.325832177397211e-06,6.265664160401002,39.097744360902254,36.340852130325814,5.263157894736842,1.0,True
4104600,Capitão Leônidas Marques,14648.0,11943.0,2705.0,0.0016077394744601508,0.0509693743996299,2.5334839180736142e-06,16.040100250626566,50.125313283208015,35.83959899749373,15.538847117794486,1.0,True
4104659,Carambeí,23283.0,18659.0,4624.0,0.004332913998023876,0.07596297713205963,2.700904322095897e-05,84.21052631578947,68.92230576441104,74.43609022556392,92.73182957393483,5.0,False
4104709,Carlópolis,16905.0,12296.0,4609.0,0.0017743947323256497,0.03294650433167282,0.0,24.31077694235589,29.57393483709273,17.669172932330827,3.132832080200501,1.0,True
4104808,Cascavel,348051.0,334139.0,13912.0,0.0033818348524079687,0.13766685540183607,5.144055643802176e-05,69.67418546365914,94.73684210526315,90.47619047619048,98.49624060150376,5.0,False
4104907,Castro,73075.0,57067.0,16008.0,0.002110189622701102,0.08081834367697359,7.030563281364204e-06,35.08771929824561,72.93233082706767,44.11027568922306,54.761904761904766,3.0,False
4105003,Catanduvas,10446.0,6367.0,4079.0,0.0016652370326138656,0.09165579857910756,1.561120201286749e-05,18.546365914786968,79.19799498746866,60.150375939849624,57.64411027568922,3.0,False
4105102,Centenário do Sul,10832.0,9284.0,1548.0,0.0044506590561697625,0.0005950100147338062,0.0,86.21553884711778,0.5012531328320802,17.669172932330827,17.794486215538846,1.0,True
4105201,Cerro Azul,16134.0,6333.0,9801.0,0.0013208253188487851,0.10064231355786697,5.018785607896442e-06,7.769423558897243,83.45864661654136,39.59899749373433,37.34335839598997,2.0,False
4105300,Céu Azul,11087.0,8986.0,2101.0,0.0018292473891425307,0.04878815050312243,5.158013993130867e-06,27.31829573934837,46.8671679197995,39.849624060150376,25.31328320802005,2.0,False
4105409,Chopinzinho,21085.0,14821.0,6264.0,0.0021069944091845565,0.12313880822851925,5.6571691532616705e-06,34.58646616541353,89.22305764411027,41.10275689223057,61.904761904761905,4.0,False
4105508,Cianorte,79527.0,72880.0,6647.0,0.004215892366430899,0.0283342487953909,7.758575320491846e-05,82.20551378446115,24.31077694235589,96.49122807017544,85.71428571428571,5.0,False
4105607,Cidade Gaúcha,11467.0,10901.0,566.0,0.0028753871241554187,0.017613670155941133,0.0,55.13784461152882,12.280701754385964,17.669172932330827,7.017543859649122,1.0,True
4105706,Clevelândia,15070.0,13521.0,1549.0,0.0023464047808770027,0.08813851399095081,1.255225985205461e-05,40.6015037593985,77.69423558897243,54.63659147869674,69.92481203007519,4.0,False
4105805,Colombo,232212.0,221242.0,10970.0,0.004634011898585408,0.19358837487493022,2.5776945684193472e-05,88.22055137844612,98.74686716791979,72.93233082706767,99.24812030075188,5.0,False
4105904,Colorado,22896.0,21301.0,1595.0,0.0034443638098675907,0.0029534959400805264,0.0,72.18045112781954,3.007518796992481,17.669172932330827,10.526315789473683,1.0,True
4106001,Congonhinhas,8320.0,5200.0,3120.0,0.001742756437006875,0.04618707563150089,8.78541640911695e-05,23.55889724310777,44.11027568922306,98.24561403508771,62.907268170426065,4.0,False
4106100,Conselheiro Mairinck,3461.0,2404.0,1057.0,0.0023733138769570115,0.03296103213373955,9.817338352009617e-05,41.35338345864661,29.82456140350877,98.49624060150376,66.41604010025063,4.0,False
4106209,Contenda,19128.0,12357.0,6771.0,0.0023414337125265104,0.13144305913010035,5.27928243443745e-06,39.849624060150376,92.73182957393483,40.100250626566414,69.67418546365914,4.0,False
4106308,Corbélia,17470.0,15339.0,2131.0,0.0031176430842950733,0.06700290474757682,1.3368145178581227e-05,62.907268170426065,63.90977443609023,56.14035087719298,76.19047619047619,4.0,False
4106407,Cornélio Procópio,45206.0,43495.0,1711.0,0.004273287549559095,0.04149447954314788,5.375653416167936e-05,82.95739348370927,39.849624060150376,90.72681704260651,89.72431077694235,5.0,False
4106456,Coronel Domingos Soares,5649.0,2027.0,3622.0,0.0015956937696187223,0.12695129368549318,0.0,15.538847117794486,90.72681704260651,17.669172932330827,32.33082706766917,2.0,False
4106506,Coronel Vivida,23331.0,17752.0,5579.0,0.002806823174332001,0.11795326812835413,3.1432040804139466e-05,52.38095238095239,87.71929824561403,76.94235588972431,90.97744360902256,5.0,False
4106555,Corumbataí do Sul,3760.0,2488.0,1272.0,0.003132496175000982,0.07172154329035718,0.0,63.40852130325815,66.16541353383458,17.669172932330827,50.125313283208015,3.0,False
4106571,Cruzeiro do Iguaçu,4133.0,2728.0,1405.0,0.0016904346894462958,0.08381568117114505,1.2656270112734948e-05,20.050125313283207,74.43609022556392,55.13784461152882,53.258145363408524,3.0,False
4106605,Cruzeiro do Oeste,23831.0,21348.0,2483.0,0.0038819804559784106,0.016816679728475618,2.9628122820109756e-05,77.94486215538848,11.779448621553884,76.44110275689223,63.40852130325815,4.0,False
4106704,Cruzeiro do Sul,4494.0,3637.0,857.0,0.004181644768200494,0.010993744426286365,2.9353077281580707e-05,81.45363408521304,7.017543859649122,76.19047619047619,61.65413533834586,4.0,False
